         1240882520 function calls (1240874123 primitive calls) in 692.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      352    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      178    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
      143    0.000    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
      340    0.000    0.000    0.000    0.000 _util.py:296(<listcomp>)
       85    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
       64    0.000    0.000    0.007    0.000 sre_parse.py:819(parse)
      218    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
      143    0.000    0.000    0.000    0.000 shape_base.py:63(atleast_2d)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
     2333    0.000    0.000    0.000    0.000 inspect.py:2434(name)
   114/98    0.000    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:903(create_module)
      161    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
       71    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      120    0.000    0.000    0.001    0.000 validation.py:125(_shape_repr)
     1039    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      473    0.000    0.000    0.000    0.000 stringsource:344(__cinit__)
      140    0.000    0.000    0.001    0.000 fromnumeric.py:1821(sum)
  145/106    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1043(__import__)
       15    0.000    0.000    0.002    0.000 numeric.py:2274(isclose)
      340    0.000    0.000    0.000    0.000 _util.py:301(<listcomp>)
      712    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      341    0.000    0.000    0.012    0.000 inspect.py:2985(signature)
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        2    0.000    0.000    0.000    0.000 six.py:1(<module>)
      230    0.000    0.000    0.000    0.000 _distn_infrastructure.py:714(<genexpr>)
      872    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       10    0.000    0.000    0.015    0.001 k_means_.py:383(_kmeans_single_elkan)
       22    0.000    0.000    0.000    0.000 core.py:2928(__array_finalize__)
      672    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        6    0.000    0.000    0.358    0.060 __init__.py:5(<module>)
       59    0.000    0.000    0.000    0.000 {method 'partition' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.008    0.001 _distn_infrastructure.py:2668(__init__)
       59    0.000    0.000    0.000    0.000 _k_means.pyx:273(_centers_dense)
        1    0.000    0.000    0.001    0.001 numerictypes.py:81(<module>)
      556    0.000    0.000    0.000    0.000 base.py:1187(isspmatrix)
      177    0.000    0.000    0.000    0.000 stringsource:994(memoryview_fromslice)
      148    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     1389    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       89    0.000    0.000    0.003    0.000 pairwise.py:58(check_pairwise_arrays)
       89    0.000    0.000    0.000    0.000 pairwise.py:34(_return_float_dtype)
      112    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      342    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1086(_legacy_get_spec)
      359    0.000    0.000    0.000    0.000 _distn_infrastructure.py:43(instancemethod)
     1704    0.000    0.000    0.000    0.000 inspect.py:2739(parameters)
     1067    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
      102    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      502    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
        6    0.000    0.000    0.001    0.000 enum.py:547(<dictcomp>)
      312    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      351    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3378(get_distribution_names)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2158(__init__)
      544    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       17    0.000    0.000    0.000    0.000 deprecation.py:68(_decorate_fun)
      342    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        5    0.000    0.000    0.196    0.039 __init__.py:4(<module>)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      122    0.000    0.000    0.000    0.000 validation.py:104(_num_samples)
       64    0.000    0.000    0.005    0.000 sre_compile.py:516(_code)
    23/10    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       10    0.000    0.000    0.001    0.000 inspect.py:1052(getfullargspec)
      363    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      149    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        2    0.000    0.000    0.012    0.006 __init__.py:57(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
      106    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
        1    0.000    0.000    0.002    0.002 _multivariate.py:4(<module>)
       90    0.000    0.000    0.001    0.000 extmath.py:55(row_norms)
      360    0.000    0.000    0.000    0.000 validation.py:152(<genexpr>)
       29    0.000    0.000    0.000    0.000 core.py:2902(_update_from)
        2    0.000    0.000    0.012    0.006 DBCV.py:168(_cluster_density_separation)
       11    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
        8    0.000    0.000    0.000    0.000 compressed.py:128(check_format)
       53    0.000    0.000    0.000    0.000 core.py:890(__init__)
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
      341    0.000    0.000    0.000    0.000 inspect.py:467(_is_wrapper)
       11    0.000    0.000    0.001    0.000 decorator.py:169(make)
